Incident_ID,City,Crime_Type,Weapon,Victim_Gender,Suspect_Gender,Arrest_Made,Date,Time
1,Chennai,Assault,Other,Female,Male,Yes,01-01-2018,12.00 AM
2,Kolkata,Robbery,Knife,Male,Male,No,01-01-2018,1.00 AM
3,Bengaluru,Murder,None,Male,Female,No,01-01-2018,2.00 AM
4,Kolkata,Robbery,Other,Male,Male,No,01-01-2018,3.00 AM
5,Kolkata,Robbery,None,Female,Female,Yes,01-01-2018,4.00 AM
6,Delhi,Murder,None,Male,Female,No,01-01-2018,5.00 AM
7,Bengaluru,Robbery,Gun,Female,Male,Yes,01-01-2018,6.00 AM
8,Bengaluru,Murder,None,Female,Unknown,Yes,01-01-2018,7.00 AM
9,Bengaluru,Murder,None,Female,Male,Yes,01-01-2018,8.00 AM
10,Kolkata,Murder,Other,Male,Male,No,01-01-2018,9.00 AM
11,Chennai,Assault,None,Female,Male,No,01-01-2018,10.00 AM
12,Bengaluru,Fraud,Gun,Female,Unknown,No,01-01-2018,11.00 AM
13,Kolkata,Assault,Knife,Male,Unknown,No,01-01-2018,12.00 PM
14,Delhi,Murder,Knife,Male,Female,No,01-01-2018,1.00 PM
15,Chennai,Fraud,Other,Male,Unknown,No,01-01-2018,2.00 PM
16,Delhi,Fraud,Other,Female,Unknown,Yes,01-01-2018,3.00 PM
17,Chennai,Murder,None,Female,Male,No,01-01-2018,4.00 PM
18,Kolkata,Fraud,Other,Male,Female,No,01-01-2018,5.00 PM
19,Mumbai,Fraud,None,Female,Female,Yes,01-01-2018,6.00 PM
20,Chennai,Assault,Other,Male,Unknown,No,01-01-2018,7.00 PM
21,Delhi,Fraud,Knife,Male,Unknown,No,01-01-2018,8.00 PM
22,Kolkata,Murder,Knife,Female,Male,Yes,01-01-2018,9.00 PM
23,Chennai,Theft,Knife,Female,Unknown,No,01-01-2018,10.00 PM
24,Mumbai,Theft,Knife,Female,Unknown,Yes,01-01-2018,11.00 PM
25,Mumbai,Theft,None,Female,Female,Yes,02-01-2018,12.00 AM
26,Bengaluru,Murder,None,Male,Unknown,Yes,02-01-2018,1.00 AM
27,Bengaluru,Theft,None,Male,Male,No,02-01-2018,2.00 AM
28,Delhi,Assault,Knife,Female,Female,Yes,02-01-2018,3.00 AM
29,Chennai,Murder,Gun,Female,Female,No,02-01-2018,4.00 AM
30,Chennai,Murder,Knife,Female,Unknown,Yes,02-01-2018,5.00 AM
31,Bengaluru,Murder,Knife,Male,Male,No,02-01-2018,6.00 AM
32,Chennai,Fraud,Gun,Male,Female,Yes,02-01-2018,7.00 AM
33,Chennai,Fraud,Gun,Female,Male,No,02-01-2018,8.00 AM
34,Mumbai,Fraud,Other,Male,Male,No,02-01-2018,9.00 AM
35,Bengaluru,Robbery,Knife,Male,Unknown,No,02-01-2018,10.00 AM
36,Kolkata,Assault,Gun,Male,Male,No,02-01-2018,11.00 AM
37,Bengaluru,Murder,Other,Male,Female,No,02-01-2018,12.00 PM
38,Kolkata,Murder,Gun,Female,Unknown,No,02-01-2018,1.00 PM
39,Mumbai,Fraud,Gun,Female,Female,No,02-01-2018,2.00 PM
40,Delhi,Murder,Other,Female,Male,No,02-01-2018,3.00 PM
41,Chennai,Murder,Knife,Female,Male,No,02-01-2018,4.00 PM
42,Mumbai,Theft,Other,Male,Unknown,Yes,02-01-2018,5.00 PM
43,Chennai,Murder,Knife,Female,Unknown,Yes,02-01-2018,6.00 PM
44,Delhi,Robbery,Gun,Female,Female,Yes,02-01-2018,7.00 PM
45,Delhi,Fraud,Other,Female,Female,Yes,02-01-2018,8.00 PM
46,Mumbai,Assault,None,Female,Male,Yes,02-01-2018,9.00 PM
47,Delhi,Assault,Gun,Female,Unknown,No,02-01-2018,10.00 PM
48,Kolkata,Theft,Other,Male,Male,Yes,02-01-2018,11.00 PM
49,Delhi,Assault,Gun,Female,Male,Yes,03-01-2018,12.00 AM
50,Chennai,Assault,Other,Male,Female,Yes,03-01-2018,1.00 AM
51,Chennai,Fraud,Knife,Male,Female,Yes,03-01-2018,2.00 AM
52,Chennai,Fraud,None,Male,Female,No,03-01-2018,3.00 AM
53,Chennai,Robbery,Gun,Male,Unknown,No,03-01-2018,4.00 AM
54,Kolkata,Theft,None,Male,Female,Yes,03-01-2018,5.00 AM
55,Bengaluru,Assault,Knife,Male,Unknown,Yes,03-01-2018,6.00 AM
56,Mumbai,Robbery,Other,Female,Male,Yes,03-01-2018,7.00 AM
57,Chennai,Theft,None,Male,Unknown,Yes,03-01-2018,8.00 AM
58,Delhi,Assault,Other,Female,Female,No,03-01-2018,9.00 AM
59,Chennai,Assault,Knife,Male,Unknown,No,03-01-2018,10.00 AM
60,Delhi,Fraud,Gun,Male,Unknown,No,03-01-2018,11.00 AM
61,Delhi,Murder,Knife,Male,Female,Yes,03-01-2018,12.00 PM
62,Chennai,Theft,None,Female,Female,No,03-01-2018,1.00 PM
63,Kolkata,Assault,None,Male,Male,Yes,03-01-2018,2.00 PM
64,Delhi,Theft,None,Male,Unknown,No,03-01-2018,3.00 PM
65,Delhi,Robbery,Other,Female,Male,No,03-01-2018,4.00 PM
66,Chennai,Robbery,Gun,Male,Male,Yes,03-01-2018,5.00 PM
67,Delhi,Murder,None,Male,Unknown,No,03-01-2018,6.00 PM
68,Delhi,Assault,None,Male,Male,No,03-01-2018,7.00 PM
69,Chennai,Fraud,None,Female,Unknown,Yes,03-01-2018,8.00 PM
70,Chennai,Assault,Knife,Male,Male,No,03-01-2018,9.00 PM
71,Mumbai,Theft,None,Male,Male,No,03-01-2018,10.00 PM
72,Kolkata,Robbery,Knife,Female,Unknown,Yes,03-01-2018,11.00 PM
73,Kolkata,Theft,None,Female,Female,No,04-01-2018,12.00 AM
74,Delhi,Murder,Knife,Male,Unknown,Yes,04-01-2018,1.00 AM
75,Kolkata,Robbery,Other,Male,Female,Yes,04-01-2018,2.00 AM
76,Delhi,Fraud,Other,Male,Unknown,Yes,04-01-2018,3.00 AM
77,Mumbai,Robbery,Knife,Male,Unknown,Yes,04-01-2018,4.00 AM
78,Chennai,Assault,Gun,Female,Female,Yes,04-01-2018,5.00 AM
79,Chennai,Assault,Gun,Female,Female,Yes,04-01-2018,6.00 AM
80,Chennai,Robbery,Knife,Female,Unknown,Yes,04-01-2018,7.00 AM
81,Kolkata,Murder,Other,Male,Unknown,Yes,04-01-2018,8.00 AM
82,Mumbai,Assault,Knife,Female,Unknown,Yes,04-01-2018,9.00 AM
83,Kolkata,Assault,Gun,Female,Female,Yes,04-01-2018,10.00 AM
84,Kolkata,Fraud,Knife,Male,Unknown,Yes,04-01-2018,11.00 AM
85,Mumbai,Robbery,Other,Male,Female,Yes,04-01-2018,12.00 PM
86,Mumbai,Assault,Gun,Male,Male,Yes,04-01-2018,1.00 PM
87,Mumbai,Murder,Gun,Male,Female,No,04-01-2018,2.00 PM
88,Mumbai,Theft,None,Male,Male,Yes,04-01-2018,3.00 PM
89,Chennai,Robbery,None,Male,Unknown,Yes,04-01-2018,4.00 PM
90,Bengaluru,Fraud,Gun,Female,Unknown,Yes,04-01-2018,5.00 PM
91,Bengaluru,Assault,Gun,Male,Female,No,04-01-2018,6.00 PM
92,Mumbai,Murder,Knife,Male,Male,Yes,04-01-2018,7.00 PM
93,Bengaluru,Robbery,Other,Female,Unknown,No,04-01-2018,8.00 PM
94,Bengaluru,Murder,Gun,Female,Unknown,Yes,04-01-2018,9.00 PM
95,Mumbai,Murder,Other,Female,Male,No,04-01-2018,10.00 PM
96,Bengaluru,Fraud,Gun,Female,Unknown,No,04-01-2018,11.00 PM
97,Kolkata,Robbery,Other,Female,Unknown,No,05-01-2018,12.00 AM
98,Delhi,Assault,None,Male,Female,No,05-01-2018,1.00 AM
99,Delhi,Fraud,Gun,Male,Unknown,No,05-01-2018,2.00 AM
100,Mumbai,Assault,Knife,Female,Male,Yes,05-01-2018,3.00 AM
101,Chennai,Theft,Other,Female,Unknown,Yes,05-01-2018,4.00 AM
102,Mumbai,Murder,Gun,Female,Female,Yes,05-01-2018,5.00 AM
103,Chennai,Theft,None,Female,Unknown,No,05-01-2018,6.00 AM
104,Delhi,Murder,None,Male,Male,No,05-01-2018,7.00 AM
105,Mumbai,Fraud,None,Female,Unknown,No,05-01-2018,8.00 AM
106,Kolkata,Assault,None,Female,Male,No,05-01-2018,9.00 AM
107,Bengaluru,Assault,Gun,Male,Female,Yes,05-01-2018,10.00 AM
